# Accelerometer Data File
# Started @Tue Feb 21 16:58:22 PST 2023
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer
# sensor Resolution: 0.004790957m/sec^2; Max Range: 156.99008; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: LOW
-0.004 -0.026 0.019 2
0.008 0.015 0.038 3
0.008 -0.012 -0.016 2
0.015 -0.036 -0.028 3
0.009 0.031 0.039 2
0.0 0.024 -0.029 3
-0.021 0.025 -0.026 2
-0.023 -0.002 0.006 3
-0.008 -0.019 -0.007 2
-0.011 0.0 -0.04 3
-0.044 -0.008 -0.006 2
-0.001 -0.033 0.054 3
-0.005 0.029 0.027 2
-0.009 -0.003 -0.022 3
0.03 0.052 -0.003 2
-0.007 0.009 -0.028 3
-0.002 0.016 0.017 2
-0.006 0.006 0.011 3
0.011 0.014 0.014 2
0.006 -0.034 0.0 2
-0.02 -0.035 0.0 3
-0.009 -0.027 -0.004 2
-0.025 0.014 -0.012 3
0.019 0.012 -0.015 2
0.043 0.036 -0.009 3
0.017 0.0 0.0 2
0.002 0.007 -0.017 3
0.006 -0.01 0.005 2
0.049 -0.009 -0.032 3
0.005 0.013 0.004 2
0.035 0.05 -0.009 3
0.01 0.015 0.026 2
0.022 -0.042 -0.023 3
-0.01 0.0 0.013 2
0.016 -0.029 0.003 3
-0.036 -0.017 -0.031 2
-0.045 -0.003 -0.011 3
-0.028 0.039 -0.013 2
0.012 0.01 -0.042 2
-0.014 -0.012 0.034 3
0.008 -0.015 0.022 2
-0.017 -0.009 -0.035 3
-0.028 0.008 -0.044 2
0.016 0.024 0.01 3
0.036 0.048 0.026 2
-0.01 0.021 0.024 3
0.029 -0.035 0.034 2
