# Accelerometer Data File
# Started @Wed Sep 20 13:23:02 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: MPU6500 Acceleration Sensor
# sensor Resolution: 5.985504E-4m/sec^2; Max Range: 19.6133; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.073 0.248 9.838 5
-0.06 0.237 9.88 6
-0.062 0.25 9.824 4
-0.046 0.237 9.834 5
-0.049 0.235 9.81 5
-0.049 0.228 9.875 5
-0.068 0.237 9.883 5
-0.071 0.238 9.843 5
-0.058 0.232 9.841 5
-0.059 0.237 9.821 5
-0.048 0.256 9.842 5
-0.05 0.244 9.845 5
-0.044 0.238 9.85 5
-0.055 0.257 9.834 5
-0.076 0.223 9.862 5
-0.073 0.241 9.851 5
-0.055 0.223 9.858 5
-0.062 0.219 9.852 5
-0.086 0.213 9.811 4
-0.068 0.226 9.821 5
-0.076 0.236 9.849 5
-0.062 0.257 9.844 5
-0.065 0.235 9.874 5
-0.063 0.218 9.85 5
-0.079 0.228 9.844 5
-0.066 0.219 9.817 5
-0.064 0.22 9.841 5
-0.05 0.223 9.86 5
-0.071 0.219 9.849 5
-0.062 0.225 9.829 5
-0.064 0.237 9.836 5
-0.048 0.246 9.836 5
-0.059 0.251 9.832 5
-0.07 0.24 9.846 4
-0.065 0.23 9.867 6
-0.061 0.225 9.84 4
-0.053 0.227 9.842 5
-0.082 0.237 9.852 6
-0.061 0.233 9.838 4
-0.074 0.247 9.852 5
-0.062 0.237 9.836 5
-0.084 0.234 9.819 5
-0.064 0.233 9.859 5
-0.056 0.244 9.85 5
-0.064 0.228 9.821 5
-0.06 0.235 9.807 5
-0.047 0.229 9.824 5
-0.072 0.232 9.838 5
-0.065 0.219 9.853 5
-0.071 0.23 9.847 5
-0.079 0.24 9.868 4
-0.069 0.22 9.867 6
-0.061 0.241 9.84 5
-0.074 0.254 9.83 5
-0.079 0.222 9.808 4
-0.073 0.234 9.818 5
-0.079 0.236 9.857 5
-0.055 0.235 9.84 5
-0.055 0.218 9.822 5
-0.069 0.226 9.858 5
-0.068 0.238 9.842 5
-0.068 0.231 9.858 5
-0.061 0.223 9.829 5
-0.044 0.214 9.851 5
-0.033 0.228 9.848 5
-0.054 0.238 9.831 5
-0.056 0.239 9.801 5
-0.058 0.238 9.815 5
-0.049 0.244 9.847 4
-0.093 0.247 9.819 6
-0.083 0.253 9.846 4
-0.063 0.227 9.852 5
-0.099 0.213 9.858 5
-0.069 0.226 9.854 6
-0.068 0.231 9.864 4
-0.064 0.23 9.846 5
-0.064 0.221 9.838 5
-0.073 0.246 9.818 5
-0.075 0.253 9.858 5
-0.081 0.217 9.868 5
-0.068 0.238 9.824 5
-0.096 0.222 9.848 5
-0.076 0.208 9.879 5
-0.071 0.223 9.859 5
-0.065 0.225 9.843 5
-0.067 0.217 9.851 5
-0.05 0.222 9.888 5
-0.071 0.233 9.855 5
-0.058 0.238 9.844 5
-0.069 0.219 9.829 5
-0.09 0.216 9.832 4
-0.061 0.228 9.846 5
-0.066 0.222 9.847 5
-0.06 0.217 9.836 5
-0.089 0.241 9.822 5
-0.059 0.227 9.804 5
-0.064 0.228 9.869 5
-0.053 0.233 9.848 5
-0.107 0.252 9.843 5
-0.064 0.26 9.821 5
-0.086 0.229 9.856 5
-0.084 0.23 9.794 5
-0.077 0.247 9.875 5
-0.089 0.245 9.842 5
